Place of Interest,Type of place,Place address,BiciMAD station,Station Location
Joaquín Turina,Monumento de la ciudad de Madrid,C Alfonso XII 7, Antonio Maura,Calle Antonio Maura nº 15
Joaquín Turina,Monumento de la ciudad de Madrid,C Alfonso XII 7, Plaza de la Independencia,Plaza de la Independencia nº 6
Joaquín Turina,Monumento de la ciudad de Madrid,C Alfonso XII 7, Cibeles,Plaza Cibeles
Jose Gomez 'Gallito',Monumento de la ciudad de Madrid,C Arrieta 14, San Quintín,Calle Pavía nº 6
Jose Gomez 'Gallito',Monumento de la ciudad de Madrid,C Arrieta 14, Palacio de Oriente,Calle Carlos III nº 1
Jose Gomez 'Gallito',Monumento de la ciudad de Madrid,C Arrieta 14, Plaza Ramales,Plaza de Ramales
Jose Martí,Monumento de la ciudad de Madrid,PASEO LA HABANA 9, Paseo de la Habana 42,Paseo de la Habana nº 42
Jose Martí,Monumento de la ciudad de Madrid,PASEO LA HABANA 9, Castellana frente a Hermanos Pinzón,Paseo de la Castellana nº 122
Jose Martí,Monumento de la ciudad de Madrid,PASEO LA HABANA 9, Castellana 106,Paseo de la Castellana nº 106
Jose María Roquero Vera,Monumento de la ciudad de Madrid,CALLE ELOY GONZALO 38, Santa Engracia 87,Calle Santa Engracia nº 87
Jose María Roquero Vera,Monumento de la ciudad de Madrid,CALLE ELOY GONZALO 38, General Álvarez de Castro,Calle del General Álvarez de Castro nº 1
Jose María Roquero Vera,Monumento de la ciudad de Madrid,CALLE ELOY GONZALO 38, Manuel Silvela,Calle Manuel Silvela nº 20
Josefina Romo,Monumento de la ciudad de Madrid,C Arrieta 14, San Quintín,Calle Pavía nº 6
Josefina Romo,Monumento de la ciudad de Madrid,C Arrieta 14, Palacio de Oriente,Calle Carlos III nº 1
Josefina Romo,Monumento de la ciudad de Madrid,C Arrieta 14, Plaza Ramales,Plaza de Ramales
José  Serrano Simeón,Monumento de la ciudad de Madrid,C Beneficencia 2, Barceló,Calle Barceló nº 7
José  Serrano Simeón,Monumento de la ciudad de Madrid,C Beneficencia 2, Plaza de San Ildefonso,Plaza de San Ildefonso
José  Serrano Simeón,Monumento de la ciudad de Madrid,C Beneficencia 2, Colegio Arquitectos,Calle Hortaleza nº 63
José Agustín Pérez del Pulgar,Monumento de la ciudad de Madrid,C San Jaime 21, Pavones,Calle Hacienda de Pavones nº 342
José Agustín Pérez del Pulgar,Monumento de la ciudad de Madrid,C San Jaime 21, Marroquina,Calle Camino de los Vinateros nº 108
José Agustín Pérez del Pulgar,Monumento de la ciudad de Madrid,C San Jaime 21, Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
José Anselmo Clavé,Monumento de la ciudad de Madrid,C José Anselmo Clavé 1, Puerta del Ángel Caído,Avenida de Alfonso XII nº 54
José Anselmo Clavé,Monumento de la ciudad de Madrid,C José Anselmo Clavé 1, Atocha B,Paseo de la Infanta Isabel nº 3
José Anselmo Clavé,Monumento de la ciudad de Madrid,C José Anselmo Clavé 1, Atocha A,Paseo de la Infanta Isabel nº 3
José Antonio Primo de Rivera,Monumento de la ciudad de Madrid,C Génova 24, Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
José Antonio Primo de Rivera,Monumento de la ciudad de Madrid,C Génova 24, Plaza de las Salesas,Plaza de las Salesas 7
José Antonio Primo de Rivera,Monumento de la ciudad de Madrid,C Génova 24, Castellana,Paseo de la Castellana nº 4
José Calvo Sotelo,Monumento de la ciudad de Madrid,C Velázquez 89, Velázquez,Calle Velázquez nº 91
José Calvo Sotelo,Monumento de la ciudad de Madrid,PLAZA CASTILLA 1, Plaza de Castilla 2,Paseo Castellana (Fundación Canal)
José Calvo Sotelo,Monumento de la ciudad de Madrid,PLAZA CASTILLA 1, Plaza de Castilla,Paseo de la Castellana nº 216
José Cubero (Yiyo),Monumento de la ciudad de Madrid,CALLE ALCALA 231, Alcalá,Calle Alejandro González nº 1
José Cubero (Yiyo),Monumento de la ciudad de Madrid,CALLE ALCALA 231, Ventas,Avenida de los Toreros nº 49
José Cubero (Yiyo),Monumento de la ciudad de Madrid,CALLE ALCALA 231, Marqués de Zafra,Paseo Marqués de Zafra nº 24
José Echegaray y Eizaguirre,Monumento de la ciudad de Madrid,C Huertas 24, Antón Martín,Calle Atocha nº 54
José Echegaray y Eizaguirre,Monumento de la ciudad de Madrid,C Huertas 24, Plaza de Santa Ana,Plaza de Santa Ana nº 10
José Echegaray y Eizaguirre,Monumento de la ciudad de Madrid,C Huertas 24, Santa Isabel,Calle Atocha nº 95
José García Vara,Monumento de la ciudad de Madrid,C Arrieta 4, Palacio de Oriente,Calle Carlos III nº 1
José García Vara,Monumento de la ciudad de Madrid,C Arrieta 4, San Quintín,Calle Pavía nº 6
José García Vara,Monumento de la ciudad de Madrid,C Arrieta 4, Santo Domingo,Plaza de Santo Domingo nº 1
José Gervasio Artigas,Monumento de la ciudad de Madrid,PASEO RUPERTO CHAPI , Paseo de Moret,Paseo de Moret nº 11
José Gervasio Artigas,Monumento de la ciudad de Madrid,PASEO RUPERTO CHAPI , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
José Gervasio Artigas,Monumento de la ciudad de Madrid,PASEO RUPERTO CHAPI , Moncloa,Paseo de Moret nº 2
José Luis Pinto Álvarez,Monumento de la ciudad de Madrid,Me Mercado Mercamadrid , Concordia,Calle Arroyo del Olivar nº 6
José Luis Pinto Álvarez,Monumento de la ciudad de Madrid,Me Mercado Mercamadrid , Méndez Álvaro,Calle Retama nº 5
José Luis Pinto Álvarez,Monumento de la ciudad de Madrid,Me Mercado Mercamadrid , Puente de Vallecas,Avenida de la Albufera nº 6
José López Silva,Monumento de la ciudad de Madrid,C Cava Baja 42, Plaza de los Carros,Carrera de San Francisco nº 1
José López Silva,Monumento de la ciudad de Madrid,C Cava Baja 42, Plaza de la Cebada,Plaza de la Cebada nº 16 
José López Silva,Monumento de la ciudad de Madrid,C Cava Baja 42, Plaza del Cordón,Plaza del Cordón
José Martí,Monumento de la ciudad de Madrid,C Desengaño , Desengaño,Calle Desengaño nº 1
