Place of Interest,Type of place,Place address,BiciMAD station,Station Location
Columnas de los Enfrentados,Monumento de la ciudad de Madrid, , C.D. Concepción,Calle Jose del Hierro nº 5
Columnas del Paseo del Prado,Monumento de la ciudad de Madrid,Pº Prado , Cibeles,Plaza Cibeles
Columnas del Paseo del Prado,Monumento de la ciudad de Madrid,Pº Prado , Banco de España A,Calle Alcalá nº 49
Columnas del Paseo del Prado,Monumento de la ciudad de Madrid,Pº Prado , Marqués de Cubas,Calle del Marqués de Cubas nº 25
Columnas ornamentales en el jardín del palacete Villa Rosa,Monumento de la ciudad de Madrid, , Colombia,Calle Colombia nº 7
Columnas ornamentales en el jardín del palacete Villa Rosa,Monumento de la ciudad de Madrid, , Condesa de Venadito,Calle Condesa de Venadito nº 2
Columnas ornamentales en el jardín del palacete Villa Rosa,Monumento de la ciudad de Madrid, , Pío XII,Avenida Pío XII nº 3
Columnas toscanas Pradolongo,Monumento de la ciudad de Madrid,PARQUE PRADOLONGO , Glorieta de Cádiz,Calle Antonio López nº 129
Columnas toscanas Pradolongo,Monumento de la ciudad de Madrid,PARQUE PRADOLONGO , Antonio López,Calle Eugenio Caxes frente al nº 12
Columnas toscanas Pradolongo,Monumento de la ciudad de Madrid,PARQUE PRADOLONGO , Legazpi,Calle Bolívar nº 3
Columnata del claustro,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , Carlota O’Neill,Calle Carlota O'Neill nº 32
Columnata del claustro,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Columnata del claustro,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , C.D. Concepción,Calle Jose del Hierro nº 5
Composición geométrica,Monumento de la ciudad de Madrid,AUDITORIO PARQUE DE LA VICALVARADA , Pavones,Calle Hacienda de Pavones nº 342
Composición geométrica,Monumento de la ciudad de Madrid,AUDITORIO PARQUE DE LA VICALVARADA , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Composición geométrica,Monumento de la ciudad de Madrid,AUDITORIO PARQUE DE LA VICALVARADA , Marroquina,Calle Camino de los Vinateros nº 108
Concepción Arenal,Monumento de la ciudad de Madrid,Pº Moret , Paseo de Moret,Paseo de Moret nº 11
Concepción Arenal,Monumento de la ciudad de Madrid,Pº Moret , Moncloa,Paseo de Moret nº 2
Concepción Arenal,Monumento de la ciudad de Madrid,Pº Moret , Altamirano,Calle Altamirano nº 24
Concesa de la Maza,Monumento de la ciudad de Madrid,C Claudio Coello 88, Ortega y Gasset,Calle José Ortega y Gasset nº 4
Concesa de la Maza,Monumento de la ciudad de Madrid,C Claudio Coello 88, Embajada de Italia,Calle Velázquez nº 75
Concesa de la Maza,Monumento de la ciudad de Madrid,C Claudio Coello 88, Castellana 42,Paseo de la Castellana nº 42
Conde de Peñalver,Monumento de la ciudad de Madrid,C Gran Vía 2, Sevilla,Calle Alcalá nº 27
Conde de Peñalver,Monumento de la ciudad de Madrid,C Gran Vía 2, Banco de España A,Calle Alcalá nº 49
Conde de Peñalver,Monumento de la ciudad de Madrid,C Gran Vía 2, Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1
Conjunto escultórico parque Arquitecto Antonio Palacios,Monumento de la ciudad de Madrid,CALLE FENELON 17, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Conjunto escultórico parque Arquitecto Antonio Palacios,Monumento de la ciudad de Madrid,CALLE FENELON 17, C.D. Concepción,Calle Jose del Hierro nº 5
Conjunto escultórico parque Arquitecto Antonio Palacios,Monumento de la ciudad de Madrid,CALLE FENELON 17, José María Pereda,Calle José María de Pereda nº 1
Conrado del Campo,Monumento de la ciudad de Madrid,Ctra Aduana 16, Sevilla,Calle Alcalá nº 27
Conrado del Campo,Monumento de la ciudad de Madrid,Ctra Aduana 16, Puerta del Sol B,Puerta del Sol nº 1
Conrado del Campo,Monumento de la ciudad de Madrid,Ctra Aduana 16, Puerta del Sol A,Puerta del Sol nº 1
Constitución de 1978,Monumento de la ciudad de Madrid,PASEO CASTELLANA 1, Plaza de Colón,Calle Goya nº 1
Constitución de 1978,Monumento de la ciudad de Madrid,PASEO CASTELLANA 1, Castellana,Paseo de la Castellana nº 4
Constitución de 1978,Monumento de la ciudad de Madrid,PASEO CASTELLANA 1, Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Constitución española,Monumento de la ciudad de Madrid, , Caramuel,Calle Caramuel nº 51
Constitución española,Monumento de la ciudad de Madrid, , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Constitución española,Monumento de la ciudad de Madrid, , Ermita Santo,Paseo de la Ermita del Santo nº 48
Consuelo Rubio,Monumento de la ciudad de Madrid,C O'Donnell 11, Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Consuelo Rubio,Monumento de la ciudad de Madrid,C O'Donnell 11, Alcalá,Avenida de Menéndez Pelayo nº 3
Consuelo Rubio,Monumento de la ciudad de Madrid,C O'Donnell 11, Castelló,Calle Alcalá nº 111
Copa,Monumento de la ciudad de Madrid,Pza España 10, Plaza de España A,Calle Princesa nº 5
Copa,Monumento de la ciudad de Madrid,Pza España 10, Plaza de España B,Calle Princesa nº 5
Copa,Monumento de la ciudad de Madrid,Pza España 10, Ventura Rodríguez,Calle Duque de Liria
Corral de Comedias,Monumento de la ciudad de Madrid,Pza La Corrala , Plaza de Lavapiés,Calle Valencia nº 1
Corral de Comedias,Monumento de la ciudad de Madrid,Pza La Corrala , Jesús y María,Calle Lavapiés nº 34
Corral de Comedias,Monumento de la ciudad de Madrid,Pza La Corrala , Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
Corredera Baja de San Pablo,Monumento de la ciudad de Madrid,Cdra Baja San Pablo 28, Plaza de San Ildefonso,Plaza de San Ildefonso
Corredera Baja de San Pablo,Monumento de la ciudad de Madrid,Cdra Baja San Pablo 28, Carlos Cambronero,Plaza de Carlos Cambronero nº 2
Corredera Baja de San Pablo,Monumento de la ciudad de Madrid,Cdra Baja San Pablo 28, Plaza de Juan Pujol,Calle Espíritu Santo nº 30
Cristóbal Colón,Monumento de la ciudad de Madrid,Pza Colón , Plaza de Colón,Calle Goya nº 1
Cristóbal Colón,Monumento de la ciudad de Madrid,Pza Colón , Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Cristóbal Colón,Monumento de la ciudad de Madrid,Pza Colón , Castellana,Paseo de la Castellana nº 4
Cruceiro Virgen del Camino,Monumento de la ciudad de Madrid,C Fenelón 42, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Cruceiro Virgen del Camino,Monumento de la ciudad de Madrid,C Fenelón 42, C.D. Concepción,Calle Jose del Hierro nº 5
Cruceiro Virgen del Camino,Monumento de la ciudad de Madrid,C Fenelón 42, José María Pereda,Calle José María de Pereda nº 1
Cruceiro de la Ermita de Nuestra Señora del Buen Camino,Monumento de la ciudad de Madrid,Pº Ermita del Santo , Facultad Derecho,Avenida Complutense nº 23
Cruceiro de la Ermita de Nuestra Señora del Buen Camino,Monumento de la ciudad de Madrid,Pº Ermita del Santo , Facultad Biología,Calle José Antonio Novais frente al nº 12
Cruceiro de la Ermita de Nuestra Señora del Buen Camino,Monumento de la ciudad de Madrid,Pº Ermita del Santo , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Cruceiro de la Ermita de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78, Ermita Santo,Paseo de la Ermita del Santo nº 48
Cruceiro de la Ermita de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78, Caramuel,Calle Caramuel nº 51
Cruceiro de la Ermita de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Cruceiro de la plaza de Galicia,Monumento de la ciudad de Madrid,Pza Galicia , Velázquez,Calle Alcalá nº 95
Cruceiro de la plaza de Galicia,Monumento de la ciudad de Madrid,Pza Galicia , Castelló,Calle Alcalá nº 111
Cruceiro de la plaza de Galicia,Monumento de la ciudad de Madrid,Pza Galicia , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Cruceiro del parque de Breogán,Monumento de la ciudad de Madrid, , Avenida Brasilia,Avenida de Brasilia frente al nº 9
Cruceiro del parque de Breogán,Monumento de la ciudad de Madrid, , Avenida Bruselas,Avenida Bruselas nº 56
Cruceiro del parque de Breogán,Monumento de la ciudad de Madrid, , Avenida Donostiarra,Calle Virgen de la Alegría nº 18
Crucero en la calle General Romero Basart,Monumento de la ciudad de Madrid,C General Romero Basart , Caramuel,Calle Caramuel nº 51
Crucero en la calle General Romero Basart,Monumento de la ciudad de Madrid,C General Romero Basart , Ermita Santo,Paseo de la Ermita del Santo nº 48
Crucero en la calle General Romero Basart,Monumento de la ciudad de Madrid,C General Romero Basart , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Cruz Puerta Cerrada,Monumento de la ciudad de Madrid,Pza Puerta Cerrada , Plaza del Cordón,Plaza del Cordón
Cruz Puerta Cerrada,Monumento de la ciudad de Madrid,Pza Puerta Cerrada , Plaza de San Miguel,Plaza de San Miguel nº 9
Cruz Puerta Cerrada,Monumento de la ciudad de Madrid,Pza Puerta Cerrada , Plaza de la Provincia,Plaza de la Provincia nº 1
Cruz de Piedra,Monumento de la ciudad de Madrid,Pza Parroquia 1, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Cruz de Piedra,Monumento de la ciudad de Madrid,Pza Parroquia 1, Ermita Santo,Paseo de la Ermita del Santo nº 48
Cruz de Piedra,Monumento de la ciudad de Madrid,Pza Parroquia 1, Caramuel,Calle Caramuel nº 51
Cruz de término,Monumento de la ciudad de Madrid,C Principal de Provincias , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Cruz de término,Monumento de la ciudad de Madrid,C Principal de Provincias , Caramuel,Calle Caramuel nº 51
Cruz de término,Monumento de la ciudad de Madrid,C Principal de Provincias , Ermita Santo,Paseo de la Ermita del Santo nº 48
Cuatro Ríos,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , Carlota O’Neill,Calle Carlota O'Neill nº 32
Cuatro Ríos,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Cuatro Ríos,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , C.D. Concepción,Calle Jose del Hierro nº 5
Cuatro estanques CYII,Monumento de la ciudad de Madrid,CARRETERA CASTILLA 12, INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Cuatro estanques CYII,Monumento de la ciudad de Madrid,CARRETERA CASTILLA 12, Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria)
Cuatro estanques CYII,Monumento de la ciudad de Madrid,CARRETERA CASTILLA 12, Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Cuba,Monumento de la ciudad de Madrid,PASEO EL SALVADOR , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Cuba,Monumento de la ciudad de Madrid,PASEO EL SALVADOR , Castelló,Calle Alcalá nº 111
Cuba,Monumento de la ciudad de Madrid,PASEO EL SALVADOR , Alcalá,Avenida de Menéndez Pelayo nº 3
Cuerpo de Bomberos,Monumento de la ciudad de Madrid,C Montera 31, Plaza del Carmen ,Plaza del Carmen nº 1
Cuerpo de Bomberos,Monumento de la ciudad de Madrid,C Montera 31, Tres Cruces,Calle Tres Cruces nº 7
Cuerpo de Bomberos,Monumento de la ciudad de Madrid,C Montera 31, Puerta del Sol B,Puerta del Sol nº 1
Cástor y Pólux,Monumento de la ciudad de Madrid,C Villablanca 41, Pavones,Calle Hacienda de Pavones nº 342
Cástor y Pólux,Monumento de la ciudad de Madrid,C Villablanca 41, Marroquina,Calle Camino de los Vinateros nº 108
Cástor y Pólux,Monumento de la ciudad de Madrid,C Villablanca 41, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Cátedra de taquigrafía española,Monumento de la ciudad de Madrid,C Marqués de Cubas 15, Marqués de Cubas,Calle del Marqués de Cubas nº 25
Cátedra de taquigrafía española,Monumento de la ciudad de Madrid,C Marqués de Cubas 15, Banco de España A,Calle Alcalá nº 49
Cátedra de taquigrafía española,Monumento de la ciudad de Madrid,C Marqués de Cubas 15, Cibeles,Plaza Cibeles
Dados de Hormigón Parque del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO , Castelló,Calle Alcalá nº 111
Dados de Hormigón Parque del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO , Alcalá,Avenida de Menéndez Pelayo nº 3
Dados de Hormigón Parque del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Daniel Urrabieta Vierge,Monumento de la ciudad de Madrid,C Huertas 28, Antón Martín,Calle Atocha nº 54
Daniel Urrabieta Vierge,Monumento de la ciudad de Madrid,C Huertas 28, Plaza de Santa Ana,Plaza de Santa Ana nº 10
Daniel Urrabieta Vierge,Monumento de la ciudad de Madrid,C Huertas 28, Santa Isabel,Calle Atocha nº 95
Daniel Vázquez Díaz,Monumento de la ciudad de Madrid,C María de Molina 66, Avenida de América 2,Calle Francisco Silvela nº 86
Daniel Vázquez Díaz,Monumento de la ciudad de Madrid,C María de Molina 66, Diego de León 52,Calle Diego de León nº 52
Daniel Vázquez Díaz,Monumento de la ciudad de Madrid,C María de Molina 66, Avenida de América 1,Calle Padre Indalecio Hernández nº 1
Daoiz y Velarde,Monumento de la ciudad de Madrid,Pza Dos de Mayo , San Andrés,Calle San Andrés nº 18
Daoiz y Velarde,Monumento de la ciudad de Madrid,Pza Dos de Mayo , Plaza de Juan Pujol,Calle Espíritu Santo nº 30
Daoiz y Velarde,Monumento de la ciudad de Madrid,Pza Dos de Mayo , San Hermenegildo,Calle San Bernardo nº 85
Daoiz y Velarde y Arco de Monteleón,Monumento de la ciudad de Madrid,Pza Dos de Mayo , San Andrés,Calle San Andrés nº 18
Daoiz y Velarde y Arco de Monteleón,Monumento de la ciudad de Madrid,Pza Dos de Mayo , Plaza de Juan Pujol,Calle Espíritu Santo nº 30
Daoiz y Velarde y Arco de Monteleón,Monumento de la ciudad de Madrid,Pza Dos de Mayo , Malasaña,Calle Manuela Malasaña nº 5
David González Rubio I,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour , Glorieta de Cádiz,Calle Antonio López nº 129
David González Rubio I,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour , Antonio López,Calle Eugenio Caxes frente al nº 12
David González Rubio I,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour , Entrada Matadero,Paseo de la Chopera nº 14
David González Rubio II,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour , Glorieta de Cádiz,Calle Antonio López nº 129
David González Rubio II,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour , Antonio López,Calle Eugenio Caxes frente al nº 12
David González Rubio II,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour , Entrada Matadero,Paseo de la Chopera nº 14
Dedos,Monumento de la ciudad de Madrid,PARQUE JUAN CARLOS I 1, Carlota O’Neill,Calle Carlota O'Neill nº 32
Dedos,Monumento de la ciudad de Madrid,PARQUE JUAN CARLOS I 1, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Dedos,Monumento de la ciudad de Madrid,PARQUE JUAN CARLOS I 1, C.D. Concepción,Calle Jose del Hierro nº 5
Derechos del Niño,Monumento de la ciudad de Madrid,Pº Recoletos , Biblioteca Nacional,Paseo de Recoletos nº 20
Derechos del Niño,Monumento de la ciudad de Madrid,Pº Recoletos , Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Derechos del Niño,Monumento de la ciudad de Madrid,Pº Recoletos , Plaza de Colón,Calle Goya nº 1
Diana,Monumento de la ciudad de Madrid,Pº Uruguay , Velázquez,Calle Alcalá nº 95
Diana,Monumento de la ciudad de Madrid,Pº Uruguay , Castelló,Calle Alcalá nº 111
Diana,Monumento de la ciudad de Madrid,Pº Uruguay , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Diego de Silva Velázquez,Monumento de la ciudad de Madrid,C Juan Bravo , Velázquez,Calle Velázquez nº 91
Diego de Silva Velázquez,Monumento de la ciudad de Madrid,C Juan Bravo , Embajada de Italia,Calle Velázquez nº 75
Diego de Silva Velázquez,Monumento de la ciudad de Madrid,C Juan Bravo , Marqués de Salamanca,Calle José Ortega y Gasset nº 30
Dimitar Dimov,Monumento de la ciudad de Madrid,Pza Lealtad 2, Antonio Maura,Calle Antonio Maura nº 15
Dimitar Dimov,Monumento de la ciudad de Madrid,Pza Lealtad 2, Cibeles,Plaza Cibeles
Dimitar Dimov,Monumento de la ciudad de Madrid,Pza Lealtad 2, Espalter,Calle Espalter nº 1
Dinastía torera Bienvenida,Monumento de la ciudad de Madrid,C Príncipe de Vergara 3, Alcalá,Avenida de Menéndez Pelayo nº 3
Dinastía torera Bienvenida,Monumento de la ciudad de Madrid,C Príncipe de Vergara 3, Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Dinastía torera Bienvenida,Monumento de la ciudad de Madrid,C Príncipe de Vergara 3, Castelló,Calle Alcalá nº 111
Dionisio Ridruejo,Monumento de la ciudad de Madrid, , Marroquina,Calle Camino de los Vinateros nº 108
Dionisio Ridruejo,Monumento de la ciudad de Madrid, , Pavones,Calle Hacienda de Pavones nº 342
Dionisio Ridruejo,Monumento de la ciudad de Madrid, , Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Diosa Hera,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez , Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Diosa Hera,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez , Retiro,Calle Ibiza nº 18
Diosa Hera,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Doble ancla,Monumento de la ciudad de Madrid,C Alicún 9, Chamartín,Calle Rodríguez Jaén nº 40
Doble ancla,Monumento de la ciudad de Madrid,C Alicún 9, Pío XII,Avenida Pío XII nº 3
Doble ancla,Monumento de la ciudad de Madrid,C Alicún 9, Manuel Caldeiro,Paseo de la Castellana nº 298
Doctor Benavente,Monumento de la ciudad de Madrid,PLAZA PARTERRE , Caramuel,Calle Caramuel nº 51
Doctor Benavente,Monumento de la ciudad de Madrid,PLAZA PARTERRE , Ermita Santo,Paseo de la Ermita del Santo nº 48
Doctor Benavente,Monumento de la ciudad de Madrid,PLAZA PARTERRE , Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Doctor Conde Arruga,Monumento de la ciudad de Madrid,C Hacienda de Pavones 105, Marroquina,Calle Camino de los Vinateros nº 108
Doctor Conde Arruga,Monumento de la ciudad de Madrid,C Hacienda de Pavones 105, Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Doctor Conde Arruga,Monumento de la ciudad de Madrid,C Hacienda de Pavones 105, Pavones,Calle Hacienda de Pavones nº 342
Doctor Cortezo,Monumento de la ciudad de Madrid,PARQUE RETIRO , Castelló,Calle Alcalá nº 111
Doctor Cortezo,Monumento de la ciudad de Madrid,PARQUE RETIRO , Alcalá,Avenida de Menéndez Pelayo nº 3
Doctor Cortezo,Monumento de la ciudad de Madrid,PARQUE RETIRO , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Doctor Esquerdo,Monumento de la ciudad de Madrid,C Doctor Esquerdo , Plaza de los Astros,Avenida de Nazaret nº 7
Doctor Esquerdo,Monumento de la ciudad de Madrid,C Doctor Esquerdo , Niño Jesús,Calle Doctor Esquerdo nº 161
Doctor Esquerdo,Monumento de la ciudad de Madrid,C Doctor Esquerdo , Sainz de Baranda,Calle Doctor Esquerdo nº 99
Doctor Fleming,Monumento de la ciudad de Madrid,CALLE ALCALA 231, Alcalá,Calle Alejandro González nº 1
Doctor Fleming,Monumento de la ciudad de Madrid,CALLE ALCALA 231, Ventas,Avenida de los Toreros nº 49
Doctor Fleming,Monumento de la ciudad de Madrid,CALLE ALCALA 231, Marqués de Zafra,Paseo Marqués de Zafra nº 24
Doctor García Tapia,Monumento de la ciudad de Madrid,C Arroyo Belincoso , Camino Vinateros,Calle Camino de los Vinateros nº 28
Doctor García Tapia,Monumento de la ciudad de Madrid,C Arroyo Belincoso , Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Doctor García Tapia,Monumento de la ciudad de Madrid,C Arroyo Belincoso , Marroquina,Calle Camino de los Vinateros nº 108
Doctor Gómez Ulla,Monumento de la ciudad de Madrid,C Doctor Gómez Ulla 2, Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2
Doctor Gómez Ulla,Monumento de la ciudad de Madrid,C Doctor Gómez Ulla 2, Ortega y Gasset 87,Calle Ortega y Gasset nº 87
Doctor Gómez Ulla,Monumento de la ciudad de Madrid,C Doctor Gómez Ulla 2, Doctor Esquerdo,Calle Hermosilla nº 135
Doctor Larra y Cerezo,Monumento de la ciudad de Madrid,CALLE JUAN ALVAREZ MENDIZABAL 12, Plaza de España A,Calle Princesa nº 5
Doctor Larra y Cerezo,Monumento de la ciudad de Madrid,CALLE JUAN ALVAREZ MENDIZABAL 12, Ventura Rodríguez,Calle Duque de Liria
Doctor Larra y Cerezo,Monumento de la ciudad de Madrid,CALLE JUAN ALVAREZ MENDIZABAL 12, Ferraz,Calle Evaristo San Miguel nº 2
Doctor Ángel Pulido Fernández,Monumento de la ciudad de Madrid,PLAZA PARTERRE , Caramuel,Calle Caramuel nº 51
Doctor Ángel Pulido Fernández,Monumento de la ciudad de Madrid,PLAZA PARTERRE , Ermita Santo,Paseo de la Ermita del Santo nº 48
Doctor Ángel Pulido Fernández,Monumento de la ciudad de Madrid,PLAZA PARTERRE , Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Dodecaedro-Éter,Monumento de la ciudad de Madrid,Pº Melancólicos , Paseo Imperial,Paseo Imperial nº 20
Dodecaedro-Éter,Monumento de la ciudad de Madrid,Pº Melancólicos , Ermita Santo,Paseo de la Ermita del Santo nº 48
Dodecaedro-Éter,Monumento de la ciudad de Madrid,Pº Melancólicos , Segovia 45,Calle Segovia nº 45
Don Juan de Borbón,Monumento de la ciudad de Madrid,Gta Su Alteza Real Don Juan de Borbón y Battemberg , Carlota O’Neill,Calle Carlota O'Neill nº 32
Don Juan de Borbón,Monumento de la ciudad de Madrid,Gta Su Alteza Real Don Juan de Borbón y Battemberg , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Don Juan de Borbón,Monumento de la ciudad de Madrid,Gta Su Alteza Real Don Juan de Borbón y Battemberg , C.D. Concepción,Calle Jose del Hierro nº 5
Dos Niños,Monumento de la ciudad de Madrid,C Portal de Belén , Pío Baroja,Calle Pío Baroja nº 10
Dos Niños,Monumento de la ciudad de Madrid,C Portal de Belén , Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73
Dos Niños,Monumento de la ciudad de Madrid,C Portal de Belén , Doce de Octubre,Calle Doce de Octubre nº 28
Dos bajorrelieves Nª Sª del Rosario,Monumento de la ciudad de Madrid,C Arturo Soria 278, Pío XII,Avenida Pío XII nº 3
Dos bajorrelieves Nª Sª del Rosario,Monumento de la ciudad de Madrid,C Arturo Soria 278, Chamartín,Calle Rodríguez Jaén nº 40
Dos bajorrelieves Nª Sª del Rosario,Monumento de la ciudad de Madrid,C Arturo Soria 278, Colombia,Calle Colombia nº 7
Dos columnas en la calle Conde Duque,Monumento de la ciudad de Madrid,C Conde Duque , Conde Duque,Calle Conde Duque nº 22
Dos columnas en la calle Conde Duque,Monumento de la ciudad de Madrid,C Conde Duque , Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24
Dos columnas en la calle Conde Duque,Monumento de la ciudad de Madrid,C Conde Duque , Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3
Dos columnas en los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, , Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Dos columnas en los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, , Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73
Dos columnas en los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, , Pío Baroja,Calle Pío Baroja nº 10
Dos estanques con ría del parque del Soto de Entrevías,Monumento de la ciudad de Madrid,PARQUE ENTREVIAS , Méndez Álvaro,Calle Retama nº 5
Dos estanques con ría del parque del Soto de Entrevías,Monumento de la ciudad de Madrid,PARQUE ENTREVIAS , Concordia,Calle Arroyo del Olivar nº 6
Dos estanques con ría del parque del Soto de Entrevías,Monumento de la ciudad de Madrid,PARQUE ENTREVIAS , Puente de Vallecas,Avenida de la Albufera nº 6
Dos estanques rectangulares en la calle Alcalá,Monumento de la ciudad de Madrid,C Alcalá 527, Carlota O’Neill,Calle Carlota O'Neill nº 32
Dos estanques rectangulares en la calle Alcalá,Monumento de la ciudad de Madrid,C Alcalá 527, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Dos estanques rectangulares en la calle Alcalá,Monumento de la ciudad de Madrid,C Alcalá 527, C.D. Concepción,Calle Jose del Hierro nº 5
Dos fuentes circulares de la Fundación BBVA,Monumento de la ciudad de Madrid,Pº Recoletos , Biblioteca Nacional,Paseo de Recoletos nº 20
Dos fuentes circulares de la Fundación BBVA,Monumento de la ciudad de Madrid,Pº Recoletos , Columela,Calle Serrano nº 8
Dos fuentes circulares de la Fundación BBVA,Monumento de la ciudad de Madrid,Pº Recoletos , Plaza de la Independencia,Plaza de la Independencia nº 6
Dos fuentes triangulares de la Casa de Campo,Monumento de la ciudad de Madrid,C Principal de Provincias , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Dos fuentes triangulares de la Casa de Campo,Monumento de la ciudad de Madrid,C Principal de Provincias , Caramuel,Calle Caramuel nº 51
Dos fuentes triangulares de la Casa de Campo,Monumento de la ciudad de Madrid,C Principal de Provincias , Ermita Santo,Paseo de la Ermita del Santo nº 48
Dos toros del Palacio Vistalegre,Monumento de la ciudad de Madrid,C Utebo 1, Caramuel,Calle Caramuel nº 51
Dos toros del Palacio Vistalegre,Monumento de la ciudad de Madrid,C Utebo 1, Ermita Santo,Paseo de la Ermita del Santo nº 48
Dos toros del Palacio Vistalegre,Monumento de la ciudad de Madrid,C Utebo 1, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Dr. Arturo Umberto Illia,Monumento de la ciudad de Madrid,C Martín Fierro , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Dr. Arturo Umberto Illia,Monumento de la ciudad de Madrid,C Martín Fierro , Paseo de Moret,Paseo de Moret nº 11
Dr. Arturo Umberto Illia,Monumento de la ciudad de Madrid,C Martín Fierro , Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria)
Duque de Alba y de Berwick,Monumento de la ciudad de Madrid,C Princesa 20, Ventura Rodríguez,Calle Duque de Liria
Duque de Alba y de Berwick,Monumento de la ciudad de Madrid,C Princesa 20, Conde Duque,Calle Conde Duque nº 22
Duque de Alba y de Berwick,Monumento de la ciudad de Madrid,C Princesa 20, Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24
Duquesa de la Victoria,Monumento de la ciudad de Madrid,AVENIDA REINA VICTORIA 24, Cuatro Caminos 2,Calle Doctor Santero nº 1
Duquesa de la Victoria,Monumento de la ciudad de Madrid,AVENIDA REINA VICTORIA 24, Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168
Duquesa de la Victoria,Monumento de la ciudad de Madrid,AVENIDA REINA VICTORIA 24, Pablo Iglesias,Calle Francisco Balseiro nº 1
